Show_Title,YouTube Playlist Link,Number of Episodes,Show_Description,Year,URL_Picture,IMDb Rating,Runtime (mins),Title Type
دروب ريمي,https://www.youtube.com/playlist?list=PLLwjNsSz9xNmHf6pvr8_uhM2sa_c3iyai,26,ريمي هي فتاة من عائلة نبيلة فقدتها والدتها وهي طفلة رضيعة وربتها امرأة فقيرة على أنها ابنتها، ثم تكبر ريمي وتعرف الحقيقة، ويحاول زوج أمها أن يبيعها لحاجته للنقود، فتهرب ريمي مع فيتاليس الذي يعمل مع حيواناته الأليفة كفرقة غنائية جوالة، وتنضم إليهم كعضوة في الفرقة، وفي نفس الوقت تبحث عن أمها الحقيقية. وبالفعل تلتقي ريمي بأمها لكن دون أن تعلم أن هذه المرأة هي أمها الحقيقية، وبعد أن تبتعد عنها في تجوالها تعلم ذلك وتعود للبحث ثانية، كما أن أمها أيضا تعلم بالحقيقة وهي بعيدة عنها، ثم يكون اللقاء.,1996.0,https://upload.wikimedia.org/wikipedia/ar/0/0b/Remi.jpg,8.3,24.0,TV Series
قصص العجائب في القرآن,https://www.youtube.com/playlist?list=PLtJHck8XtiTc57SVm6vweTa7-LM_wMO-1,52,تبدأ أحداث المسلسل من حيث انتهى مسلسل «قصص النساء في القرآن» الذي عرض خلال شهر رمضان 2013، حيث تتزوج «سلمى» ابنة القاضي الذي يجسد شخصيته الفنان يحيى الفخراني، وتنجب «سلمى» طفلين توأم «صفاء وصفي الدين»، إلا أن القاضي يكتشف أن حفيديه لديهما بعض الصفات التي لا تروق له، فيقرر أن يفرغ لهما من وقته قدر المستطاع لكي يحكى لهما بعض القصص من عجائب القرآن حتى يزرع فيهما القيم الإسلامية والأخلاق النبيلة.,2014.0,https://upload.wikimedia.org/wikipedia/ar/c/c8/Wondrous_Stories_from_the_Quran_Poster.jpg,,,TV Series
المحقق كونان - الجزء العاشر,https://www.youtube.com/playlist?list=PLbwI0LE0f2MGzxK54uo0JHESxDoYNQBQW,35,تبدأ القصة بظهور الشخصية الرئيسية سينشي كودو ذو السبعة عشر عامًا، وهو طالب في المدرسة الثانوية ومتحرٍ يساعد الشرطة والمفتش ميغوري في حل بعض القضايا، مشهور بذكائه وعبقريته التي تُفاجئ الجميع باستنتاجات تخالف التوقعات. وفي يوم من أيام العطلة خرج مع صديقة طفولته ران موري إلى مدينة الملاهي، وحدثت جريمة قتل داخل الأفعوانية وحلها كالعادة بذكائه ومهارته، وبينما كانوا هناك لمح سينشي كودو رجلًا ذو ملابس سوداء يقوم بعملية ابتزاز. فأراد معرفة القصة، فما لبث إلا أن ضُرب من الخلف وسقط مغشيًا عليه، ومن ثم أُجبر على تناول عقار جديد، لم يستخدم من قبل إلا على الفئران وظن الرجل ذو اللباس الأسود أنه سيقتله ولن يترك فيه أثرًا للتسمم لكن العقار السام تسبب في تقلص جسده ليصبح فتًى في السابعة من عمره. تلك الحادثة التي وقعت في مدينة الملاهي تسببت بولادة بطل المسلسل كونان إدوغاوا وتغير حياة سينشي كودو.,1994.0,https://upload.wikimedia.org/wikipedia/ar/d/d7/Conan-cover.jpg,,,TV Series
باتمان,https://www.youtube.com/playlist?list=PL6slfGhSgd7eo8OWZ3I_-j9DF-cDLG7fJ,42,"هو الثري «بروس وين» صاحب الملايين وصاحب شركات وين. قتل والداه منذ صغره في حادثة سرقة حدثت أمام عينه. مما دفعه لتنمية قدراته الجسمانية والعقلية واتخذ الوطواط شعارا له ليحارب الجريمة.على عكس جميع الأبطال الخياليين لا يمتلك باتمان أي قدرات خارقة للطبيعة ولكنه يستخدم التكنولوجيا والعلم وذكاءه وثروته وقوته الجسمانية في حربه ضد الجريمة.
يحارب باتمان في المدينة الخيالية غوثام. ويساعده العديد من الشخصيات مثل شريكه في محاربة الجريمة روبن وخادمه ألفريد ومفوض الشرطة جيم جوردون والمرأة الوطواط، أما أعداؤه فهم الجوكر والبطريق وذو الوجهين وريدلر ورأس الغول، توفر قصص باتمان كغيرها من القصص المصورة مساحات كافية من الخيال قصد التوسع في مواقفها واستلهام بطولاتها وسلوكياتها والاقتداء بقدراتها ومهاراتها.",1992.0,https://upload.wikimedia.org/wikipedia/ar/a/a7/Batman_Lee.png,9.0,23.0,TV Series
داي الشجاع,https://www.youtube.com/playlist?list=PL-R7lpMU6A-WA7e2xayLjxR3FldWesxwK,92,"تبدأ الأحداث بأن يتذكر طفل صغير إسمه داي قصة أخبره بها جده الذي تبناه وهو ساحر الوحش برأس واحد، تحكي القصة عن هزيمة رئيس الشياطين هيدلر على يدي بطل يدعى آفان. وبهزيمة هيدلر تحررت كل الوحوش من إرادته الشريرة وعاد السلام ليمسك بمقاليد الحكم في العالم لعشر سنوات قادمة. بعض الشياطين والوحوش ذهبت إلى جزيرة ديلمورين لتعيش بسلام. داي بطل المسلسل الصغير هو البشري الوحيد الذي يعيش على الجزيرة. لقد تمت تنشئته من قبل ساحر الوحوش العطوف القلب براس ومعه الوحش جوم، داي كان يحلم دائما بأن يصبح بطلا.
القصة الحقيقية تبدأ حينما يصل شخص مميز إلى الجزيرة لمقابلة داي، وهو آفان، معام أبطال جاء ليدرب داي بناء على طلب ليونا وهي أميرة سبق وأن أنقذها داي. آفان عرض على داي أسبوعا كاملا من التدريب من شأنه أن يصنع منه بطلا. وبعد أن تعلم اثنين فقط من أصل ثلاثة تقنيات من تقنيات السيف من آفان، انقطع تدريبه بسبب هيدلر الذي كان الجميع يعتقدون بأنه ميت. أعلن هيدلر بأنه يعمل الآن لصالح رئيس شياطين أقوى بكثير وهو الذي أعاد إحياء هيدلر، إنه رئيس الشياطين الأعظم فيرن. وبسبب ضعفه لاستخدامه الأسحار لمساعدة داي في تدريباته لم يتمكن آفان من مواجهة هدلر. لذا ومن أجل حماية تلميذه وتدمير هدلر بنفس الوقت، استدعى سحرا يدعى «ميغانتي» (التضحية) وهو يتطلب لتنفيذه استهلاك روح مستدعي هذا السحر. لكن السحر لم يتمكن من تدمير ملك الشياطين كما توقع آفان، ومن ثم هرب داي وبراس وبوب وجوم ليعيلوا أنفسهم. والطريقة الوحيدة لفوزهم هي إيقاظ القوة المخفية داخل داي التي تظهر عندما يبدو على جبهة داي رمز غريب. يقرر داي أن يسافر هو وبوب من أجل هزيمة رئيس الشياطين هيدلر وزعيمه لإعادة السلام للعالم.",1991.0,https://upload.wikimedia.org/wikipedia/ar/9/9d/DragonquestTheAdventureOfDai_vol1_Cover.jpg,7.8,30.0,TV Series
بي بليد المعركة الحديدية الموسم الاول,https://www.youtube.com/playlist?list=PLRvKPYwL3XxKym1HdFrT0bXDjD-Q1lcTk,51,الشخصية الرئيسية هي ولد شعره أحمر واسمه (ginga) وينطق غنغا ومعناها مجرة باليابانية. تتميز هذه البلابل الجديدة بان الجزء الذي يلتحم بالبلبل الآخر عند القتال مصنوع من المعادن! واسمه باللغة العربية يمان، واسم بلبله الحصان المجنح، ويذهب إلى مدينة حيث يلتقي بصديق اسمه ربيع ويلعب بالبلبل قوس اللهب، ويساعده حينما تحيط به عصابة جامعي النقاط بقيادة كمال، إلا أن يمان يقوم بإنقاذه، ومن ثم يخوض معركة ضد عصابة جامعي النقاط، فيهزمهم، وبعدها يتحداه قائدهم كمال الذي يملك الليث الضاري(اسم بلبه)ويواجهه يمان في مواجهة قوية وبعد ذلك يفوز يمان,2008.0,https://mhbfansub.wordpress.com/wp-content/uploads/2012/05/mfbb-1.jpg,,,TV Series
بي بليد المعركة الحديدية الموسم الثاني,https://www.youtube.com/playlist?list=PLRvKPYwL3XxKwQXel6k4PvFlgDbSoLKRj,32,الشخصية الرئيسية هي ولد شعره أحمر واسمه (ginga) وينطق غنغا ومعناها مجرة باليابانية. تتميز هذه البلابل الجديدة بان الجزء الذي يلتحم بالبلبل الآخر عند القتال مصنوع من المعادن! واسمه باللغة العربية يمان، واسم بلبله الحصان المجنح، ويذهب إلى مدينة حيث يلتقي بصديق اسمه ربيع ويلعب بالبلبل قوس اللهب، ويساعده حينما تحيط به عصابة جامعي النقاط بقيادة كمال، إلا أن يمان يقوم بإنقاذه، ومن ثم يخوض معركة ضد عصابة جامعي النقاط، فيهزمهم، وبعدها يتحداه قائدهم كمال الذي يملك الليث الضاري(اسم بلبه)ويواجهه يمان في مواجهة قوية وبعد ذلك يفوز يمان,2010.0,https://mhbfansub.wordpress.com/wp-content/uploads/2012/05/mfbb-1.jpg,,,TV Series
دراغون بول,https://www.youtube.com/playlist?list=PL94ihnFUTFV2R1gK4y_S2IEzyFKnXbA1j,24,هي سلسلة إعلامية ابتكرها أكيرا تورياما. المانغا الأصلية كتبها ورسمها تورياما ونُشرت في شونين جمب الأسبوعية من عام 1984 حتى عام 1995، وتحتوي 519 فصل و42 مجلد تانكوبون وتنشرها شوئيشا. دراغون بول مستوحاة من الرواية الصينية التقليدية رحلة إلى الغرب. تحكي القصة عن مغامرات سون غوكو منذ طفولته حتى بلوغه بينما يتمرن على الفنون القتالية ويستكشف العالم باحثًا الأجرام السماوية السبعة المسماة كرات التنين والتي تستدعي تنين يمنح الأمنيات عند جمعها. أثناء رحلته، غوكو يصادق العديد من الأصدقاء ويحارب مجموعة متنوعة من الأشرار، كثير منهم يسعون إلى كرات التنين أيضًا.,1986.0,https://upload.wikimedia.org/wikipedia/ar/f/f1/%D9%85%D9%84%D8%B5%D9%82_%D8%AF%D8%B1%D8%A7%D8%BA%D9%88%D9%86_%D8%A8%D9%88%D9%84_%D8%B3%D9%88%D8%A8%D8%B1.jpg,8.5,25.0,TV Series
دراغون بول زاد,https://www.youtube.com/playlist?list=PLKBBI7bcC9Kfza-OhrtspNh4PB8reORmn,75,تبدأ القصة بعد مرور 5 سنوات على هزيمة بيكولو جونيور وثم أتى شخص يدعى رادتز إلى الأرض للبحث عن أخوه غوكو ويخبر غوكو أن إسمه كاكاروت وأنه من السايان وولد في كوكب فيجيتا ولكن قام والده بنقله إلى كوكب الأرض لكي لا يموت أثناء إنفجار كوكب فيجيتا ويقول رادتز لغوكو بالانضمام إليه ولكن غوكو يرفض وثم يقوم راتدز بخطف غوهان إبن غوكو وثم يتحالف غوكو وبيكولو ضد رادتز.,1989.0,https://upload.wikimedia.org/wikipedia/ar/6/62/%D9%85%D9%84%D8%B5%D9%82_%D8%AF%D8%B1%D8%A7%D8%BA%D9%88%D9%86_%D8%A8%D9%88%D9%84_%D8%B2%D8%AF.jpg,8.8,24.0,TV Series
سندباد,https://www.youtube.com/playlist?list=PLzYI3ce5wtDbXBld3IccZyBi0co1wT3Oi,54,"سندباد بطل المسلسل هو ابن التاجر هيثم أحد التجار المشهورين في مدينة بغداد، له صديق اسمه حسن (يفترض أنه الشاطر حسن) وهو فتى فقير يوزع جرار الماء. يتسلل سندباد مع صديقه حسن إلى الحفل المقام بقصر والي بغداد، وهناك يرى عروض سحرية وبهلوانية مبهرة من عارضين عدة من أنحاء العالم، ومن هنا يقرر سندباد أن يرحل ليرى العالم الواسع مع عمه كثير الترحال علي الذي أحضر له طائراً يتكلم، هذا الطائر هو ياسمينة التي تشارك سندباد بطولة كل الحلقات.
يهرب سندباد ويبحر مع عمه علي، لكنه ينفصل عن عمه بسبب حوت رست السفينة على ظهره ظناً من البحارة أنه جزيرة. تبدأ مغامرات سندباد وحده مع طائره المتكلم ياسمينة. يتعرض سندباد لعدة مواقف منها المثير والمخيف ويواجه مخلوقات غريبة مثل طائر العنقاء العملاق والمارد العملاق ذا اللون الأخضر الذي يأكل البشر.
يتعرف سندباد على صديقين هما علي بابا وهو شاب يعمل لدى اللصوص يجيد استعمال الخنجر والحبل، يقرر ترك حياة اللصوص والانضمام إلى سندباد حباً في المغامرات، انضم للمغامرات ابتداء من المغامرة 19 | علي بابا واللصوص، والعم علاء الدين وهو شيخ كبير بالسن، لكنه يهوى المغامرات ويلتحق بسندباد ابتداء من المغامرة 23 | وحش النهر حتى نهاية المغامرات، ويصبحون ثلاثي من المغامرين ويواجهون بعض المصاعب مع المشعوذين بولبا والعجوز ميساء وغيرهم، لكن في كل مرة يتمكن الخير من الانتصار على الشر بذكاء سندباد وحكمة علاء الدين وإقدام علي بابا يتمكنون من التغلب على المشعوذين ومن ثم التغلب على زعيمهم الجني الأزرق وتابعته الشريرة، المرأة التي لها ظل بقرة (زغل).",1975.0,https://upload.wikimedia.org/wikipedia/ar/1/1c/%D8%B3%D9%86%D8%AF%D8%A8%D8%A7%D8%AF_%28%DA%A9%D8%A7%D8%B1%D8%AA%D9%88%D9%86%29.jpg,7.8,24.0,TV Series
